season,position,team,played,won,draw,lost,goals_for,goals_against,goal_diff,points
2023/24,1,Manchester City FC,38,28,7,3,96,34,62,91
2023/24,2,Arsenal FC,38,28,5,5,91,29,62,89
2023/24,3,Liverpool FC,38,24,10,4,86,41,45,82
2023/24,4,Aston Villa FC,38,20,8,10,76,61,15,68
2023/24,5,Tottenham Hotspur FC,38,20,6,12,74,61,13,66
2023/24,6,Chelsea FC,38,18,9,11,77,63,14,63
2023/24,7,Newcastle United FC,38,18,6,14,85,62,23,60
2023/24,8,Manchester United FC,38,18,6,14,57,58,-1,60
2023/24,9,West Ham United FC,38,14,10,14,60,74,-14,52
2023/24,10,Crystal Palace FC,38,13,10,15,57,58,-1,49
2023/24,11,Brighton & Hove Albion FC,38,12,12,14,55,62,-7,48
2023/24,12,Everton FC,38,13,9,16,40,51,-11,48
2023/24,13,AFC Bournemouth,38,13,9,16,54,67,-13,48
2023/24,14,Fulham FC,38,13,8,17,55,61,-6,47
2023/24,15,Wolverhampton Wanderers FC,38,13,7,18,50,65,-15,46
2023/24,16,Brentford FC,38,10,9,19,56,65,-9,39
2023/24,17,Nottingham Forest FC,38,9,9,20,49,67,-18,36
2023/24,18,Luton Town FC,38,6,8,24,52,85,-33,26
2023/24,19,Burnley FC,38,5,9,24,41,78,-37,24
2023/24,20,Sheffield United FC,38,3,7,28,35,104,-69,16
2024/25,1,Liverpool FC,38,25,9,4,86,41,45,84
2024/25,2,Arsenal FC,38,20,14,4,69,34,35,74
2024/25,3,Manchester City FC,38,21,8,9,72,44,28,71
2024/25,4,Chelsea FC,38,20,9,9,64,43,21,69
2024/25,5,Newcastle United FC,38,20,6,12,68,47,21,66
2024/25,6,Aston Villa FC,38,19,9,10,58,51,7,66
2024/25,7,Nottingham Forest FC,38,19,8,11,58,46,12,65
2024/25,8,Brighton & Hove Albion FC,38,16,13,9,66,59,7,61
2024/25,9,AFC Bournemouth,38,15,11,12,58,46,12,56
2024/25,10,Brentford FC,38,16,8,14,66,57,9,56
2024/25,11,Fulham FC,38,15,9,14,54,54,0,54
2024/25,12,Crystal Palace FC,38,13,14,11,51,51,0,53
2024/25,13,Everton FC,38,11,15,12,42,44,-2,48
2024/25,14,West Ham United FC,38,11,10,17,46,62,-16,43
2024/25,15,Manchester United FC,38,11,9,18,44,54,-10,42
2024/25,16,Wolverhampton Wanderers FC,38,12,6,20,54,69,-15,42
2024/25,17,Tottenham Hotspur FC,38,11,5,22,64,65,-1,38
2024/25,18,Leicester City FC,38,6,7,25,33,80,-47,25
2024/25,19,Ipswich Town FC,38,4,10,24,36,82,-46,22
2024/25,20,Southampton FC,38,2,6,30,26,86,-60,12
